gene	deg_total	group
SNORD19	0	OPC
SAA3P	0	OPC
LMX1A	2	OPC
SSTR3	2	OPC
LOC100507537	0	OPC
MIR4263	3	OPC
SPATS1	0	OPC
FAM170A	2	OPC
LOC100505545	0	OPC
SMIM9	0	OPC
MIR16-2	3	OPC
MIRLET7D	0	OPC
LINC00446	1	OPC
MIR5010	5	OPC
MIR4639	0	OPC
MIR5006	0	OPC
HAO2	0	OPC
ANKRD63	4	OPC
OR1M1	2	OPC
LYZL6	2	OPC
RAX	4	OPC
SNORD52	0	OPC
MIRLET7I	0	OPC
MIR29C	1	OPC
TFAP2D	2	OPC
MIR181A2	2	OPC
MIR3619	1	OPC
SUSD3	0	OPC
HMHB1	3	OPC
SNORD1B	0	OPC
SNORD113-2	0	OPC
FGFBP1	2	OPC
SNORD30	0	OPC
SNORA70D	0	OPC
PTX4	0	OPC
PROKR2	0	OPC
SNORD116-4	1	OPC
SNORD85	9	OPC
GNG8	1	OPC
POU4F2	0	OPC
OR6T1	6	OPC
LRRC72	2	OPC
SNORD81	0	OPC
LINC00161	1	OPC
OR4C45	1	OPC
CHRNA6	0	OPC
OR2T1	3	OPC
KRTAP5-10	0	OPC
OR5M1	0	OPC
BPIFB4	1	OPC
SP6	2	OPC
GCSAML-AS1	4	OPC
LINC00589	0	OPC
BTLA	7	OPC
COL4A2-AS1	1	OPC
TTR	2	OPC
ERVV-2	0	OPC
TAAR6	17	OPC
SPRR2E	8	OPC
CCR7	0	OPC
VAX1	0	OPC
PCDHB1	4	OPC
RGL3	2	OPC
LOC100507391	8	OPC
MIR1182	0	OPC
MAFA	1	OPC
LOC401463	0	OPC
NOX3	1	OPC
C7orf45	1	OPC
LOC284294	0	OPC
NKX2-5	0	OPC
FOXD2	2	OPC
SEMG1	2	OPC
GIMAP7	4	OPC
OR8B12	3	OPC
TAAR9	4	OPC
BMP10	9	OPC
OR9A2	0	OPC
CCDC54	2	OPC
CGB7	1	OPC
VNN3	11	OPC
TTTY9A	5	OPC
TTTY9B	5	OPC
LOC340074	0	OPC
AADAC	2	OPC
CDX2	3	OPC
RGS13	6	OPC
CLDN10-AS1	0	OPC
DAZ2	0	OPC
LOC340107	10	OPC
CXorf66	1	OPC
SLC17A3	10	OPC
GCNT3	5	OPC
LOC100131047	11	OPC
HYALP1	9	OPC
PPYR1	0	OPC
CARTPT	4	OPC
SIGLEC7	0	OPC
CD3E	2	OPC
IL22RA2	0	OPC
C10orf40	1	OPC
WFDC12	6	OPC
KNCN	3	OPC
MAGEB3	1	OPC
MAGEB16	0	OPC
BTNL8	0	OPC
OR56A1	0	OPC
ZAR1L	2	OPC
LRIT1	3	OPC
C11orf91	0	OPC
LOC284788	5	OPC
SEMG2	8	OPC
HBE1	1	OPC
CST5	0	OPC
BLK	1	OPC
ARX	2	OPC
TGM6	2	OPC
NKX6-2	0	OPC
PROKR1	0	OPC
LINC00347	7	OPC
HOXB13	1	OPC
LILRA2	1	OPC
CREB3L3	0	OPC
TRIM55	0	OPC
OR10R2	1	OPC
TREM2	0	OPC
SLC6A19	10	OPC
TMEM61	0	OPC
SIGLEC5	0	OPC
CYP4F8	11	OPC
CES1	0	OPC
SCNN1A	0	OPC
CXXC1P1	2	OPC
SP8	1	OPC
OR4C16	5	OPC
OR8D4	0	OPC
MYOC	2	OPC
LOC100505964	0	OPC
ART1	6	OPC
KRTAP4-5	1	OPC
LINC00442	11	OPC
RCVRN	0	OPC
VENTXP1	0	OPC
P2RX3	0	OPC
OR8B2	9	OPC
LMAN1L	7	OPC
KRT28	3	OPC
CEACAM7	0	OPC
LYPD2	0	OPC
CTLA4	0	OPC
PSG11	0	OPC
S100A7L2	2	OPC
TAAR2	1	OPC
SPATA31A2	0	OPC
SIM1	0	OPC
PRLHR	1	OPC
LINC00421	0	OPC
KRT16P2	7	OPC
ERG	1	OPC
SNORD116-16	7	OPC
TACSTD2	1	OPC
LUZP4	4	OPC
OR6C1	11	OPC
C15orf32	0	OPC
KRTAP5-4	1	OPC
POTEA	3	OPC
MLIP-IT1	0	OPC
C11orf86	0	OPC
MIR1279	1	OPC
CNPY1	0	OPC
OR4B1	8	OPC
GMFG	2	OPC
UGT1A6	0	OPC
AFP	3	OPC
CCDC70	0	OPC
CLDN23	5	OPC
LINC00661	4	OPC
KLK15	4	OPC
NLRP6	1	OPC
LCP2	2	OPC
FAM71B	1	OPC
SNORD116-22	0	OPC
PRSS38	0	OPC
OR3A4P	14	OPC
CD300LB	1	OPC
LINC00571	1	OPC
SIGLEC12	3	OPC
FCER2	1	OPC
GPR144	0	OPC
FCN3	0	OPC
KRTAP16-1	0	OPC
KIRREL3-AS3	1	OPC
CYP7A1	1	OPC
MS4A8B	11	OPC
CLRN1-AS1	1	OPC
MAGEB1	0	OPC
CXCL11	2	OPC
OR4X1	1	OPC
TPD52L3	0	OPC
FGG	2	OPC
EN2	10	OPC
KLHL33	2	OPC
GCSAM	5	OPC
OR52H1	0	OPC
CYMP	0	OPC
ANO9	4	OPC
OR9Q1	0	OPC
LYPD4	0	OPC
LINC00290	9	OPC
OR5D14	4	OPC
KRTAP4-1	3	OPC
EBI3	0	OPC
OR1J4	4	OPC
LHX1	1	OPC
PRSS45	3	OPC
FLJ20518	2	OPC
OR51F2	11	OPC
LCN12	3	OPC
OR2B3	4	OPC
OR10T2	2	OPC
OR1D2	0	OPC
LOC100132354	8	OPC
GLYCAM1	3	OPC
ASCL3	0	OPC
DLX6	0	OPC
PLA2G1B	3	OPC
LOC257358	0	OPC
INSL4	3	OPC
VCX2	10	OPC
OR52N5	1	OPC
PTGER1	1	OPC
ELSPBP1	4	OPC
PFN3	0	OPC
LY6G6F	1	OPC
OR4K15	2	OPC
HPGDS	3	OPC
UNC5B-AS1	0	OPC
NKX2-1	9	OPC
SERPINB7	1	OPC
OR52A5	3	OPC
SPRR1B	2	OPC
SPINK8	10	OPC
CRYBB1	1	OPC
INMT-FAM188B	1	OPC
OR4D1	1	OPC
SPRR2A	5	OPC
OR8B3	5	OPC
OR8J1	0	OPC
NAA11	1	OPC
OR10J5	2	OPC
MYH2	8	OPC
SRY	0	OPC
CDX4	0	OPC
KLK2	4	OPC
CYP4Z2P	0	OPC
KRTAP13-1	0	OPC
SPINT3	3	OPC
KRT35	2	OPC
MAGEB6	15	OPC
DOK2	0	OPC
ALDH3B2	5	OPC
MBL2	0	OPC
CST13P	0	OPC
OR12D2	0	OPC
UBQLN3	0	OPC
GATA5	6	OPC
KRT3	4	OPC
HSD52	6	OPC
CEACAM18	3	OPC
AGR2	3	OPC
LRRC15	4	OPC
CACTIN-AS1	3	OPC
SAG	6	OPC
LINC00305	10	OPC
DEFB127	0	OPC
LOC100507600	0	OPC
ANXA8	1	OPC
OTP	3	OPC
CLDN25	0	OPC
PRSS57	0	OPC
MOXD2P	6	OPC
LOC100093698	11	OPC
ISM2	0	OPC
LOC401164	0	OPC
MYOZ2	3	OPC
LOC284798	0	OPC
OR13C8	5	OPC
LOC728739	4	OPC
GUCA2B	6	OPC
OR8I2	0	OPC
CLPSL1	1	OPC
PTGDR	1	OPC
IDO2	0	OPC
SPATA31E1	7	OPC
KRT40	1	OPC
FABP12	0	OPC
LIPN	10	OPC
ACTBL2	1	OPC
IL26	0	OPC
SAMD12-AS1	3	OPC
XKR3	0	OPC
KRTAP9-3	0	OPC
OR5W2	3	OPC
OR5D16	3	OPC
OR10P1	0	OPC
PHOX2A	0	OPC
S100A5	0	OPC
LOC400558	0	OPC
SNORA5B	2	OPC
FAM170B	6	OPC
SNORD64	0	OPC
NCF4	0	OPC
OR14C36	0	OPC
LOC100131726	1	OPC
PIP	0	OPC
DEFB134	0	OPC
SNORD116-6	0	OPC
OR6C2	0	OPC
S100A7	2	OPC
KLRG2	1	OPC
LINC00582	0	OPC
LINC00462	3	OPC
LPAR3	6	OPC
ARMS2	3	OPC
TCF24	1	OPC
KLKP1	7	OPC
KRT33B	0	OPC
OR5K3	4	OPC
SPRR2B	0	OPC
LOC283332	2	OPC
LOC100144597	2	OPC
UBE2MP1	1	OPC
KRT38	0	OPC
SLC7A13	0	OPC
TMEM244	4	OPC
CYP1A1	0	OPC
LOC285084	10	OPC
MYEOV	0	OPC
IL25	0	OPC
SCARNA18	0	OPC
OR2M1P	1	OPC
SNORA36A	0	OPC
LBP	0	OPC
OR1J2	0	OPC
KRT82	0	OPC
SNORD117	0	OPC
MIR1291	2	OPC
MIRLET7A2	0	OPC
KLK3	4	OPC
DGAT2L6	3	OPC
HPSE2	3	OPC
ARHGEF3-AS1	1	OPC
TBX22	0	OPC
TGIF2LX	2	OPC
CYP4F22	3	OPC
HAO1	3	OPC
WWC2-AS2	0	OPC
MIR198	1	OPC
COX4I2	0	OPC
C10orf53	0	OPC
OR52E6	0	OPC
WFDC11	0	OPC
OR4F5	0	OPC
FCN1	14	OPC
C1QB	0	OPC
KRTAP12-3	9	OPC
SCARNA8	0	OPC
MIR181D	0	OPC
TMPRSS11E	3	OPC
SNORA39	0	OPC
CPA6	4	OPC
TAS2R16	0	OPC
MS4A5	0	OPC
CARD18	0	OPC
SYNDIG1L	0	OPC
PVALB	0	OPC
MIR4694	0	OPC
XGPY2	0	OPC
FOXF1	0	OPC
MIR3935	15	OPC
OR56A4	0	OPC
CCM2L	0	OPC
C8orf22	0	OPC
GSTTP1	9	OPC
SNORA36B	0	OPC
SOX17	0	OPC
LHX8	3	OPC
BANCR	0	OPC
AADACL2	5	OPC
MYH8	0	OPC
LINC00595	2	OPC
LOC100169752	0	OPC
MIR548I2	0	OPC
OR5L1	1	OPC
XG	0	OPC
MACC1-AS1	0	OPC
CLCNKB	2	OPC
LOC100289673	0	OPC
TM4SF19-TCTEX1D2	0	OPC
MIR3685	0	OPC
CYP4A22	1	OPC
OR4L1	3	OPC
LOC649133	0	OPC
MIR545	1	OPC
SNORD38B	0	OPC
OR8S1	0	OPC
MIR3916	0	OPC
ASPG	1	OPC
